"06085",76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,51,50,50,49,48,47,46,45,44,43,42,41,40,39,39,38,37,37,36,35,34,33,32,31,30,29,28,27,27,26,25,24,23,22,21,20,19,18,0,16,16,15,14,14,13,12,12,12,11,10,9,8,7,6,5,4,4,3,0,0
"08115",77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,52,51,51,50,49,48,47,46,45,44,43,42,41,40,40,39,38,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,0,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"20181",78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,53,52,52,51,50,49,48,47,46,45,44,43,42,41,41,40,39,38,37,36,35,34,33,32,31,30,29,28,28,27,26,25,24,23,22,21,20,19,0,17,17,16,15,15,14,13,13,13,12,11,10,9,8,7,6,5,4,3,0,0
"20187",79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,54,53,53,52,51,50,49,48,47,46,45,44,43,42,42,41,40,39,38,37,36,35,34,33,32,31,30,29,29,28,27,26,25,24,23,22,21,20,0,18,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08117",80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,55,54,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,32,31,30,29,28,27,26,25,24,23,0,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"48435",81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,56,55,54,53,52,51,50,49,48,47,46,45,44,43,43,42,41,40,39,38,37,36,35,34,33,32,31,30,30,29,28,27,26,25,24,23,22,21,0,19,18,17,16,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08119",82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,57,56,55,54,53,52,51,50,49,48,47,46,45,44,45,44,43,42,41,40,39,38,37,36,35,34,33,32,32,31,30,29,28,27,26,25,24,23,0,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"49047",83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,31,30,29,28,27,26,25,24,23,22,0,20,19,18,17,16,15,14,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08121",84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,0,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08123",85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,32,31,30,29,28,27,26,25,24,23,0,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08125",86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,0,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
